,equity
2025-08-22 04:37:06.042736+00:00,8970.402457498003
2025-08-22 13:52:06.042736+00:00,8918.602873212814
2025-08-22 16:07:06.042736+00:00,8867.226350974792
2025-08-25 03:52:06.042736+00:00,8888.210825729293
2025-08-25 14:07:06.042736+00:00,8927.973446848428
2025-08-25 20:07:06.042736+00:00,8992.886139489623
2025-08-25 21:37:06.042736+00:00,8940.090978364167
2025-08-26 04:22:06.042736+00:00,8945.77999767509
2025-08-26 07:07:06.042736+00:00,8894.837880020761
2025-08-26 10:37:06.042736+00:00,8844.128792709733
2025-08-26 17:52:06.042736+00:00,8793.734934667176
2025-08-27 07:37:06.042736+00:00,8804.842017746878
2025-08-27 09:07:06.042736+00:00,8752.532763844914
2025-08-27 11:37:06.042736+00:00,8833.180511497572
2025-08-27 14:07:06.042736+00:00,8871.061217739061
2025-08-28 01:07:06.042736+00:00,8893.49315604522
2025-08-28 04:52:06.042736+00:00,8840.468999690282
2025-08-28 06:07:06.042736+00:00,8788.862662253787
2025-08-28 10:22:06.042736+00:00,8847.50403505009
2025-08-29 02:52:06.042736+00:00,8880.698170134094
2025-08-29 09:37:06.042736+00:00,8829.024542527332
2025-08-29 15:07:06.042736+00:00,8777.537786099
2025-08-29 19:22:06.042736+00:00,8727.438266006317
2025-09-01 00:52:06.042736+00:00,8676.348737460186
2025-09-01 03:52:06.042736+00:00,8718.79096819464
2025-09-01 11:22:06.042736+00:00,8729.638941199451
2025-09-01 13:52:06.042736+00:00,8735.334670235185
2025-09-01 20:37:06.042736+00:00,8740.173568065347
2025-09-02 04:37:06.042736+00:00,8772.18077607431
2025-09-02 08:22:06.042736+00:00,8721.43254777928
2025-09-02 10:22:06.042736+00:00,8671.278550099592
2025-09-02 18:22:06.042736+00:00,8731.74247829846
2025-09-03 04:22:06.042736+00:00,8756.495353798007
2025-09-03 12:52:06.042736+00:00,8705.106538869673
2025-09-03 14:37:06.042736+00:00,8743.613889249304
2025-09-03 18:52:06.042736+00:00,8792.216768459806
2025-09-04 04:07:06.042736+00:00,8820.220695110074
2025-09-04 05:52:06.042736+00:00,8837.55215670866
2025-09-04 14:37:06.042736+00:00,8787.137250271422
2025-09-04 16:22:06.042736+00:00,8822.289019346103
2025-09-05 00:37:06.042736+00:00,8833.433734095099
